continent,location,population,population_density,median_age,aged_65_older,life_expectancy,gdp_per_capita,extreme_poverty
North America,Guatemala,18249868,157.834,22.9,4.694,74.3,7423.808,8.7
Europe,Guernsey,63385,NA,NA,NA,NA,NA,NA
Africa,Guinea,13497237,51.755,19,3.135,61.6,1998.926,35.3
Africa,Guinea-Bissau,2015490,66.191,19.4,3.002,58.32,1548.675,67.1
South America,Guyana,790329,3.952,26.3,5.305,69.91,7435.047,NA
North America,Haiti,11541683,398.448,24.3,4.8,64,1653.173,23.5
NA,High income,1214930230,NA,NA,NA,NA,NA,NA
North America,Honduras,10062994,82.805,24.9,4.652,75.27,4541.795,16
Asia,Hong Kong,7552800,7039.714,44.8,16.303,84.86,56054.92,NA
Europe,Hungary,9634162,108.043,43.4,18.577,76.88,26777.561,0.5
Europe,Iceland,343360,3.404,37.3,14.431,82.99,46482.958,0.2
Asia,India,1393409033,450.419,28.2,5.989,69.66,6426.674,21.2
Asia,Indonesia,276361788,145.725,29.3,5.319,71.72,11188.744,5.7
NA,International,NA,NA,NA,NA,NA,NA,NA
Asia,Iran,85028760,49.831,32.4,5.44,76.68,19082.62,0.2
Asia,Iraq,41179351,88.125,20,3.186,70.6,15663.986,2.5
Europe,Ireland,4982904,69.874,38.7,13.928,82.3,67335.293,0.2
Europe,Isle of Man,85410,147.872,NA,NA,81.4,NA,NA
Asia,Israel,9291000,402.606,30.6,11.733,82.97,33132.32,0.5
Europe,Italy,60367471,205.859,47.9,23.021,83.51,35220.084,2
North America,Jamaica,2973462,266.879,31.4,9.684,74.47,8193.571,NA
Asia,Japan,126050796,347.778,48.2,27.049,84.63,39002.223,NA
Europe,Jersey,101073,NA,NA,NA,NA,NA,NA
Asia,Jordan,10269022,109.285,23.2,3.81,74.53,8337.49,0.1
Asia,Kazakhstan,18994958,6.681,30.6,6.991,73.6,24055.588,0.1
Africa,Kenya,54985702,87.324,20,2.686,66.7,2993.028,36.8
Oceania,Kiribati,121388,143.701,23.2,3.895,68.37,1981.132,NA
Europe,Kosovo,1782115,168.155,NA,NA,NA,9795.834,0.6
Asia,Kuwait,4328553,232.128,33.7,2.345,75.49,65530.537,NA
Asia,Kyrgyzstan,6628347,32.333,26.3,4.489,71.45,3393.474,1.4
Asia,Laos,7379358,29.715,24.4,4.029,67.92,6397.36,22.7
Europe,Latvia,1866934,31.212,43.9,19.754,75.29,25063.846,0.7
Asia,Lebanon,6769151,594.561,31.1,8.514,78.93,13367.565,NA
Africa,Lesotho,2159067,73.562,22.2,4.506,54.33,2851.153,59.6
Africa,Liberia,5180208,49.127,19.2,3.057,64.1,752.788,38.6
Africa,Libya,6958538,3.623,29,4.424,72.91,17881.509,NA
Europe,Liechtenstein,38254,237.012,NA,NA,82.49,NA,NA
Europe,Lithuania,2689862,45.135,43.5,19.002,75.93,29524.265,0.7
NA,Low income,665149040,NA,NA,NA,NA,NA,NA
NA,Lower middle income,3330652550,NA,NA,NA,NA,NA,NA
Europe,Luxembourg,634814,231.447,39.7,14.312,82.25,94277.965,0.2
Asia,Macao,658391,20546.766,39.2,9.798,84.24,104861.851,NA
Africa,Madagascar,28427333,43.951,19.6,2.929,67.04,1416.44,77.6
Africa,Malawi,19647681,197.519,18.1,2.979,64.26,1095.042,71.4
Asia,Malaysia,32776195,96.254,29.9,6.293,76.16,26808.164,0.1
Asia,Maldives,543620,1454.433,30.6,4.12,78.92,15183.616,NA
Africa,Mali,20855724,15.196,16.4,2.519,59.31,2014.306,NA
Europe,Malta,516100,1454.037,42.4,19.426,82.53,36513.323,0.2
Oceania,Marshall Islands,59618,295.15,NA,NA,73.7,3819.202,NA
Africa,Mauritania,4775110,4.289,20.3,3.138,64.92,3597.633,6
Africa,Mauritius,1273428,622.962,37.4,10.945,74.99,20292.745,0.5
North America,Mexico,130262220,66.444,29.3,6.857,75.05,17336.469,2.5
Oceania,Micronesia (country),116255,150.777,23,4.81,67.88,3299.464,16
Europe,Moldova,4024025,123.655,37.6,10.864,71.9,5189.972,0.2
Europe,Monaco,39520,19347.5,NA,NA,86.75,NA,NA
Asia,Mongolia,3329282,1.98,28.6,4.031,69.87,11840.846,0.5
Europe,Montenegro,628051,46.28,39.1,14.762,76.88,16409.288,1
North America,Montserrat,4981,NA,NA,NA,74.16,NA,NA
Africa,Morocco,37344787,80.08,29.6,6.769,76.68,7485.013,1
Africa,Mozambique,32163045,37.728,17.7,3.158,60.85,1136.103,62.9
Asia,Myanmar,54806014,81.721,29.1,5.732,67.13,5591.597,6.4
Africa,Namibia,2587344,3.078,22,3.552,63.71,9541.808,13.4
Oceania,Nauru,10873,682.45,NA,NA,59.96,12895.635,NA
Asia,Nepal,29674920,204.43,25,5.809,70.78,2442.804,15
Europe,Netherlands,17173094,508.544,43.2,18.779,82.28,48472.545,NA
Oceania,New Caledonia,288217,15.342,33.4,9.954,77.55,NA,NA
Oceania,New Zealand,5122600,18.206,37.9,15.322,82.29,36085.843,NA
North America,Nicaragua,6702379,51.667,27.3,5.445,74.48,5321.444,3.2
Africa,Niger,25130810,16.955,15.1,2.553,62.42,926,44.5
Africa,Nigeria,211400704,209.588,18.1,2.751,54.69,5338.454,NA
Oceania,Niue,1614,NA,NA,NA,73.71,NA,NA
NA,North America,596581283,NA,NA,NA,NA,NA,NA
Europe,North Macedonia,2082661,82.6,39.1,13.26,75.8,13111.214,5
Asia,Northern Cyprus,NA,NA,NA,NA,NA,NA,NA
Europe,Norway,5465629,14.462,39.7,16.821,82.4,64800.057,0.2
NA,Oceania,43219954,NA,NA,NA,NA,NA,NA
Asia,Oman,5223376,14.98,30.7,2.355,77.86,37960.709,NA
Asia,Pakistan,225199929,255.573,23.5,4.495,67.27,5034.708,4
Oceania,Palau,18174,47.237,NA,NA,73.7,13240.405,NA
Asia,Palestine,5222756,778.202,20.4,3.043,74.05,4449.898,1
